ADDRESS,CERT,CITY,COUNTY,NAME,OFFNAME,SERVTYPE,STALP,STCNTY,STNAME,ZIP,full_address,missed_address,lat,long
1841 E Allegheny Ave,3510,Philadelphia,Philadelphia,"Bank of America, National Association",KENSINGTON BRANCH,11,PA,42101,Pennsylvania,19134,"1841 E Allegheny Ave, Philadelphia, PA 19134",False,39.99558,-75.112169
1246 E Hunting Park Ave,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",JUNIATA BRANCH,11,PA,42101,Pennsylvania,19124,"1246 E Hunting Park Ave, Philadelphia, PA 19124",False,40.010554,-75.102496
1900 Market St,18409,Philadelphia,Philadelphia,"TD Bank, National Association",CENTER CITY BRANCH,11,PA,42101,Pennsylvania,19103,"1900 Market St, Philadelphia, PA 19103",False,39.953109,-75.172448
1610 Spruce St,34888,Philadelphia,Philadelphia,Parke Bank,SPRUCE STREET BRANCH,11,PA,42101,Pennsylvania,19103,"1610 Spruce St, Philadelphia, PA 19103",False,39.947289,-75.168552
1801 Market St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",TEN PENN CENTER BRANCH,11,PA,42101,Pennsylvania,19103,"1801 Market St, Philadelphia, PA 19103",False,39.953614,-75.169522
921 Arch St,58513,Philadelphia,Philadelphia,The Bank of Princeton,ARCH STREET BRANCH,11,PA,42101,Pennsylvania,19107,"921 Arch St, Philadelphia, PA 19107",False,39.95368,-75.155663
1616 Walnut St,29950,Philadelphia,Philadelphia,"Santander Bank, N.A.",RITTENHOUSE BRANCH,11,PA,42101,Pennsylvania,19103,"1616 Walnut St, Philadelphia, PA 19103",False,39.949736,-75.168597
6304 Roosevelt Blvd,18409,Philadelphia,Philadelphia,"TD Bank, National Association",PHILADELPHIA LEVICK STREET BRANCH,11,PA,42101,Pennsylvania,19149,"6304 Roosevelt Blvd, Philadelphia, PA 19149",False,40.03546,-75.071801
123 Chestnut St,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",2nd St and Chestnut St,11,PA,42101,Pennsylvania,19106,"123 Chestnut St, Philadelphia, PA 19106",False,39.948552,-75.143701
2843 N Broad St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",GLENWOOD BRANCH,11,PA,42101,Pennsylvania,19132,"2843 N Broad St, Philadelphia, PA 19132",False,39.99638,-75.15395
